date,dailyPuzzle,numberOfGames,studying,notes
2024-07-24,true,1,false,
2024-07-25,true,1,false,
2024-07-26,true,0,true,Openings
2024-07-28,true,,,
2024-08-01,true,,,
2024-08-02,true,,,
2024-08-03,true,3,,"<br><br>
Game 1: <br>
https://www.chess.com/game/live/108542810688
<br> 
Game 2: <br>
https://www.chess.com/game/live/108542983844
<br>
Game 3: <br>
https://www.chess.com/game/live/108543139140
<br>"
2024-08-04,true,,,
2024-08-05,true,,,
2024-08-06,true,,,
2024-08-07,true,,,
2024-08-08,true,1,,"<br><br>
Game: https://www.chess.com/game/live/108614563182"
2024-08-09,true,1,,"<br><br>
Game: https://www.chess.com/game/108636634324"
2024-08-10,true,1,,"<br><br>
Game: https://www.chess.com/game/live/108651886942"
2024-08-11,true,0,,""
2024-08-12,true,1,,"<br><br>
https://www.chess.com/game/live/108689137790"
2024-08-13,true,1,,"<br><br>
https://www.chess.com/game/live/108697450874"
2024-08-14,true,1,,"<br><br>
https://www.chess.com/game/live/108721400622"
2024-08-15,true,1,,"<br><br>
https://www.chess.com/game/live/108732787032"
2024-08-16,true,2,,"<br><br>
Game 1: https://www.chess.com/game/live/108756072334
<br><br>
Game 2: https://www.chess.com/game/live/108756267590"
2024-08-17,true,,,
2024-08-18,true,2,,"<br><br>
Game 1: https://www.chess.com/game/live/108790134066
<br><br>
Game 2: https://www.chess.com/game/live/108790348164"
2024-08-19,true,0,,